Skill 1,Skill 2,Correlation
flurry,sql,0.492436
openstack,visual-studio,0.490282
architect,migration,0.489866
linux-kernel,performance,0.489794
python,svn,0.489431
engineer,marketing,0.489346
kvm,performance,0.489207
reporting-services,sql,0.488838
cloud_computing,marketing,0.487861
performance,virtual-machine,0.487565
.net,visual-studio,0.486284
air,javascript,0.486146
java,web-security,0.485743
osx,performance,0.485601
python,sql,0.484719
innovative,software-engineering,0.484699
agile,engineer,0.484480
algorithm,hive,0.484112
performance,xen,0.483356
cryptography,java,0.483204
java,xss,0.483204
creativity,ssl,0.482303
migration,xml,0.482206
algorithm,hbase,0.482178
mysql,written_communication_skills,0.481831
cloud-hosting,saas,0.481798
algorithm,pig,0.481702
algorithm,piglatin,0.481702
ability_manage,application_modernization,0.481158
software-engineering,svn,0.481054
azure,saas,0.480000
ajax,css,0.479881
algorithm,r,0.479672
algorithm,cassandra,0.479570
algorithm,nosql,0.479283
spring,wcf,0.479051
algorithm,mapreduce,0.478922
algorithm,hadoop,0.478600
architect,business_requirements,0.478520
openstack,xen,0.476747
html,web-applications,0.476712
information_technology,passionate,0.476544
ruby-on-rails,wcf,0.475670
python,video,0.474888
soa,spring,0.474781
algorithm,hdfs,0.474751
consumer_insights,software_development_life_cycle,0.473957
experience_software_development_lifecycle,software_development_life_cycle,0.473957
apache,ssl,0.473673
computer-science,software-engineering,0.473626
leader,python,0.473621
ability_manage,mainframe,0.473572
android,css,0.473375
cloud,puppet,0.472870
hosting,saas,0.472346
ability_manage,experience_web_technologies,0.471312
cassandra,data-warehousing,0.470514
apache,life_cycle,0.470312
engineer,testing,0.470215
agile,communication_skills,0.470182
cloud,communication_skills,0.469616
google-app-engine,saas,0.469562
ajax,passionate,0.468357
ubuntu,visual-studio,0.468320
python,testing,0.468245
communication_skills,linux,0.468127
virtualization,visual-studio,0.467170
deliver,mobile_applications,0.466193
ajax,design_implementation,0.465618
openerp,python,0.465445
jvm,performance,0.465014
erp,python,0.465009
apache,written_communication_skills,0.464543
ofbiz,python,0.463853
application_development,mainframe,0.463829
ajax,deliver,0.462889
mongodb,sql-server,0.462269
deliver,migration,0.460424
c#,ruby-on-rails,0.459829
magento,python,0.459583
php,sql-server,0.459474
ssl,windows,0.459151
automation,design_implementation,0.458461
design_implementation,testing,0.457350
application_development,migration,0.456079
migration,unix,0.455553
business_requirements,executive_level,0.455309
architect,information_technology,0.455002
application_development,security,0.454460
architect,leader,0.454200
algorithm,postgresql,0.453565
distributed-computing,saas,0.453453
kanban,software_development_life_cycle,0.453334
performance,ubuntu,0.453165
python,written_communication_skills,0.453100
communication_skills,python,0.452965
data-warehousing,nosql,0.451472
asp.net,spring,0.450553
open-source,python,0.449030
development_experience,experience_web_technologies,0.448279
architecture_experience,saas,0.448074
computer-science,python,0.447360
marketing,software_development,0.446592
mysql,software_development,0.446333
flurry,javascript,0.445731
consultant,passionate,0.444982
google-analytics,javascript,0.444907
javascript,statistics,0.444496
javascript,reporting-services,0.444308
consumer_insights,supply_chain,0.444227
experience_software_development_lifecycle,supply_chain,0.444227
deliver,web-applications,0.444057
experience_web_technologies,security,0.443462
automation,unix,0.443231
automation,computer-science,0.443101
management_skills,migration,0.442409
linq,wcf,0.441635
ability_manage,marketing,0.441518
engineer,security,0.440112
java,python,0.438812
c#,jvm,0.438406
algorithm,mongodb,0.438233
openstack,virtual-machine,0.438224
automation,software-engineering,0.438187
google-analytics,mongodb,0.437088
mongodb,statistics,0.437013
flurry,mongodb,0.436937
osx,visual-studio,0.436264
data-warehousing,hbase,0.435952
mongodb,web-analytics,0.435316
mongodb,reporting-services,0.435148
data-warehousing,r,0.435071
business_requirements,soa,0.434677
google-analytics,visual-studio,0.433346
statistics,visual-studio,0.433162
flurry,visual-studio,0.433135
agile,design_implementation,0.432325
asp.net,java,0.432296
reporting-services,visual-studio,0.431051
management_skills,oracle,0.430917
openstack,saas,0.430642
ajax,business_requirements,0.430331
development_experience,unix,0.429495
application_development,linq,0.427616
cloud,devops,0.427505
mobile_applications,unix,0.427079
spring,xml,0.426718
cloud,software-engineering,0.426546
php,ssl,0.426311
application_development,application_modernization,0.425422
application_development,spring,0.424893
cloud,continuous-integration,0.424861
mainframe,unix,0.424342
c#,ubuntu,0.424234
php,web-applications,0.423755
architect,software_development_life_cycle,0.423272
architect,security,0.423122
kvm,openstack,0.422492
application_development,modernization,0.421477
linux,marketing,0.421283
leader,written_communication_skills,0.420841
python,sap,0.420054
architecture_experience,soa,0.419541
hosting,visual-studio,0.419071
visual-studio,xen,0.418653
tfs,visual-studio,0.418335
architect,mobile_applications,0.417633
java,mysql,0.417244
cloud_computing,unix,0.416807
database,oracle,0.416599
sql-server,visual-studio,0.416449
mysql,postgresql,0.415844
communication_skills,design_implementation,0.415592
leader,software_development,0.414780
mongodb,ssas,0.413138
security,software_development,0.412647
unit-testing,version-control,0.412348
application_development,legacy,0.411244
application_development,experience_web_technologies,0.410555
c#,sharepoint,0.409895
computer-science,written_communication_skills,0.409091
actionscript,javascript,0.408899
azure,virtualization,0.408808
ability_manage,mobile_applications,0.408744
architect,deliver,0.408422
javascript,ssas,0.407054
cloud,ruby,0.406218
agile,written_communication_skills,0.406178
agile,mobile_applications,0.405950
mainframe,xml,0.404897
mongodb,sql,0.404794
hyper-v,ssl,0.404519
virtual-machine,visual-studio,0.404132
javascript,olap,0.404074
database,postgresql,0.403945
visual-studio,web-analytics,0.403892
agile,kanban,0.403281
data-warehousing,javascript,0.403106
agile,agile-project-management,0.402271
agile,estimation,0.402271
agile,extreme-programming,0.402271
agile,greenhopper,0.402271
agile,sprint,0.402271
agile,tdd,0.402271
ssas,visual-studio,0.402229
agile,development_experience,0.402001
cloud,deployment,0.401622
marketing,mysql,0.401607
computer-science,java,0.401425
mongodb,mysql,0.401051
information_technology,soa,0.400839
database,written_communication_skills,0.400720
data-warehousing,hive,0.400609
.net,sharepoint,0.399377
automation,java,0.399320
architect,soa,0.398636
.net,ruby-on-rails,0.398396
distributed-computing,postgresql,0.398371
c#,mercurial,0.398147
ios,javascript,0.397832
kvm,visual-studio,0.397801
java,wcf,0.397033
business_requirements,web-applications,0.396841
engineer,prototyping,0.396156
agile-project-management,software_development_life_cycle,0.396082
estimation,software_development_life_cycle,0.396082
extreme-programming,software_development_life_cycle,0.396082
greenhopper,software_development_life_cycle,0.396082
software_development_life_cycle,sprint,0.396082
software_development_life_cycle,tdd,0.396082
java,javascript,0.396075
ability_manage,migration,0.395093
communication_skills,database,0.394984
google-app-engine,visual-studio,0.394976
css,ios,0.394769
database,mongodb,0.394348
information_technology,virtualization,0.394292
scrum,software_development_life_cycle,0.393880
design_implementation,passionate,0.393431
architect,driven,0.393292
mongodb,reporting,0.393012
distributed-computing,hdfs,0.391935
legacy,oracle,0.391909
database,open-source,0.391400
leader,svn,0.390995
agile,software_development,0.390890
software_development_life_cycle,unit-testing,0.390481
open-source,sql-server,0.389814
application_modernization,unix,0.389726
unix,video,0.389709
objective-c,ssl,0.389545
soa,software_development_life_cycle,0.389001
business_requirements,erp,0.388527
.net,virtualization,0.388510
consultant,virtualization,0.388150
business_requirements,openerp,0.388070
business_requirements,ofbiz,0.387797
visual-studio,wpf,0.387584
agile,unit-testing,0.387469
c#,windows,0.385973
cloud-hosting,virtualization,0.385834
modernization,unix,0.385834
jvm,visual-studio,0.385718
architect,innovative,0.385699
mongodb,olap,0.385421
linux,vmware,0.384397
cloud_computing,mobile_applications,0.384191
javascript,reporting,0.384025
oracle,ssas,0.383241
.net,google-app-engine,0.382988
linux-kernel,visual-studio,0.382760
experience_web_technologies,written_communication_skills,0.382188
c#,version-control,0.382147
devops,unix,0.381978
business_requirements,magento,0.381855
oracle,statistics,0.381462
c#,wpf,0.381456
google-analytics,oracle,0.381385
flurry,oracle,0.381265
driven,marketing,0.381239
legacy,unix,0.380730
libvirt,visual-studio,0.380293
qemu,visual-studio,0.380293
virtualbox,visual-studio,0.380293
development_experience,management_skills,0.379573
openstack,qemu,0.378536
libvirt,openstack,0.378536
openstack,virtualbox,0.378536
mobile_applications,spring,0.378134
mysql,unix,0.377906
continuous-integration,unix,0.377388
deliver,design_implementation,0.377347
architect,management_skills,0.377211
linux-kernel,openstack,0.376971
google-app-engine,virtualization,0.376616
architect,java,0.376474
application_development,leader,0.375994
reporting,visual-studio,0.375950
data-warehousing,oracle,0.375798
oracle,reporting-services,0.375506
experience_web_technologies,partner,0.375115
management_skills,written_communication_skills,0.374776
database,sap,0.374535
alfresco,c#,0.374522
c#,workflow-activity,0.374522
c#,workflow-foundation,0.374522
c#,workflow-foundation-4,0.374522
openstack,osx,0.374389
apache,marketing,0.374337
hyper-v,linux,0.374220
.net,ajax,0.374112
.net,openstack,0.373727
performance,virtualization,0.373588
azure,visual-studio,0.373459
sap,sql-server,0.373387
.net,mercurial,0.373088
life_cycle,windows,0.373061
business_requirements,open-source,0.372385
database,video,0.372379
data-warehousing,visual-studio,0.372049
oracle,reporting,0.371561
mobile_applications,networking,0.371343
mysql,sql-server,0.371076
html,responsive-design,0.370801
html,sencha-touch,0.370801
flex,html,0.370009
executive_level,supply_chain,0.369714
agile,leader,0.369581
business_requirements,xml,0.369293
life_cycle,xml,0.368416
html,html5,0.368337
puppet,unix,0.368327
networking,unix,0.368144
database,hadoop,0.367836
architecture_experience,communication_skills,0.367771
.net,windows,0.367697
.net,xml,0.367327
apache,supply_chain,0.366468
olap,oracle,0.366437
olap,visual-studio,0.365607
application_modernization,xml,0.365316
oracle,python,0.365183
agile,software-engineering,0.365053
automation,marketing,0.364582
css,xml,0.364316
openstack,wpf,0.364300
communication_skills,experience_web_technologies,0.363887
javascript,ssis,0.363643
design_implementation,engineer,0.363641
jira,software_development_life_cycle,0.363297
mongodb,ssis,0.362896
distributed-computing,virtualization,0.362706
experience_web_technologies,spring,0.362391
apache,automation,0.362328
cloud-hosting,visual-studio,0.362088
modernization,partner,0.361115
distributed-computing,mongodb,0.360997
jvm,openstack,0.360596
modernization,xml,0.360484
ability_manage,architect,0.360420
libvirt,linux,0.360284
linux,qemu,0.360284
linux,virtualbox,0.360284
html,windows-mobile,0.360177
linux,linux-kernel,0.359928
distributed-computing,mapreduce,0.359733
postgresql,sql-server,0.359557
mobile_applications,ruby,0.359419
oracle,web-analytics,0.358987
legacy,xml,0.358976
database,nosql,0.358633
kvm,linux,0.358469
cassandra,database,0.358330
hosting,ubuntu,0.358059
linux,virtual-machine,0.357599
devops,mobile_applications,0.357493
deliver,marketing,0.357450
application_development,software-engineering,0.357136
business_requirements,sap,0.356782
experience_web_technologies,xml,0.356296
database,erp,0.356267
oracle,ssis,0.356227
application_development,architect,0.356220
innovative,written_communication_skills,0.356190
git,jira,0.355976
c#,openstack,0.355808
database,openerp,0.355553
database,ofbiz,0.354990
linux,xen,0.354988
software_development,unix,0.354776
continuous-integration,mobile_applications,0.354081
spring,svn,0.353612
java,web-applications,0.353512
algorithm,database,0.353194
database,magento,0.352698
.net,hosting,0.352321
linux,osx,0.352240
deployment,mobile_applications,0.351958
.net,alfresco,0.351567
.net,workflow-activity,0.351567
.net,workflow-foundation,0.351567
.net,workflow-foundation-4,0.351567
database,distributed-computing,0.350634
svn,version-control,0.350189
ruby,unix,0.349951
innovative,leader,0.349916
jvm,linux,0.349792
c#,virtualization,0.349579
deployment,unix,0.349304
postgresql,sql,0.349290
data-warehousing,hadoop,0.348940
database,hdfs,0.348223
architect,communication_skills,0.347587
database,mapreduce,0.346924
ajax,partner,0.346915
design_implementation,software_development,0.346892
application_development,html,0.346889
distributed-computing,hadoop,0.346506
database,hbase,0.346183
application_development,testing,0.346013
c#,osx,0.345678
partner,web-applications,0.345507
git,svn,0.345452
migration,windows,0.345101
erp,information_technology,0.344873
development_experience,security,0.344674
hadoop,mysql,0.344655
information_technology,openerp,0.344337
information_technology,ofbiz,0.344257
agile,jira,0.343950
computer-science,development_experience,0.343752
communication_skills,testing,0.343730
cloud,written_communication_skills,0.343667
deliver,soa,0.343112
mobile_applications,puppet,0.342251
apache,creativity,0.341985
html,phonegap,0.341932
ajax,php,0.341809
communication_skills,management_skills,0.341731
ssis,visual-studio,0.341351
linux,mobile_applications,0.341307
architecture_experience,leader,0.341229
.net,azure,0.340838
data-warehousing,mapreduce,0.340407
algorithm,sql,0.340272
information_technology,open-source,0.340190
application_modernization,spring,0.339773
c#,xen,0.339198
information_technology,magento,0.338713
.net,version-control,0.338697
air,html,0.338682
cordova,html,0.338639
driven,soa,0.338621
design_implementation,written_communication_skills,0.338328
distributed-computing,nosql,0.337936
agile,puppet,0.337783
soa,software-engineering,0.337756
java,mobile_applications,0.337741
cloud,video,0.337693
asp.net,linq,0.337477
agile,software_development_life_cycle,0.336908
linux,ubuntu,0.336871
c#,linux-kernel,0.336057
modernization,spring,0.336006
application_modernization,partner,0.335671
openstack,vmware,0.335619
alfresco,svn,0.334910
svn,workflow-activity,0.334910
svn,workflow-foundation,0.334910
svn,workflow-foundation-4,0.334910
database,deployment,0.334776
ruby-on-rails,tfs,0.334649
mercurial,svn,0.334606
database,r,0.334457
linux,wpf,0.334335
management_skills,open-source,0.334238
scrum,software-engineering,0.333999
c#,git,0.333424
cloud,unix,0.333114
distributed-computing,visual-studio,0.333074
erp,management_skills,0.332791
executive_level,modernization,0.332755
cassandra,mysql,0.332745
management_skills,openerp,0.332514
management_skills,ofbiz,0.332120
jira,workflow-foundation,0.332091
jira,workflow-foundation-4,0.332091
alfresco,jira,0.332091
jira,workflow-activity,0.332091
leader,marketing,0.331989
ajax,application_development,0.331945
mysql,nosql,0.331882
java,networking,0.331382
mainframe,partner,0.331210
automation,mysql,0.331152
design_implementation,security,0.330895
c#,virtual-machine,0.330717
.net,cloud-hosting,0.330479
jira,mercurial,0.330477
computer-science,spring,0.329979
cassandra,distributed-computing,0.328657
continuous-integration,git,0.328091
legacy,spring,0.327819
legacy,partner,0.327386
mongodb,ruby-on-rails,0.325903
c#,kvm,0.325165
hyper-v,openstack,0.325141
google-app-engine,wcf,0.324688
magento,management_skills,0.324466
c#,linq,0.324370
consultant,consumer_insights,0.324327
consultant,experience_software_development_lifecycle,0.324327
security,video,0.323532
java,leader,0.322676
html,life_cycle,0.322266
deployment,management_skills,0.322207
hbase,mysql,0.321064
database,engineer,0.320932
testing,unix,0.320759
mysql,ssl,0.320238
application_development,consultant,0.319814
linq,ssis,0.319803
actionscript,web-security,0.319502
actionscript,asp.net,0.319341
puppet,security,0.319096
apache,html,0.318632
cloud_computing,experience_web_technologies,0.318583
experience_web_technologies,oracle,0.318347
deliver,javascript,0.318215
information_technology,sap,0.317957
hyper-v,life_cycle,0.317886
ssl,wcf,0.317629
apache,python,0.317459
application_development,life_cycle,0.317444
ajax,spring,0.317440
mobile_applications,partner,0.316890
css,web-applications,0.316882
database,hive,0.316130
agile,networking,0.316070
linux,virtualization,0.316008
software-engineering,spring,0.315999
ability_manage,supply_chain,0.315883
database,marketing,0.315869
jira,sharepoint,0.315749
application_modernization,oracle,0.315531
mysql,ruby-on-rails,0.315435
mysql,r,0.315217
communication_skills,mobile_applications,0.315157
asp.net,javascript,0.314903
communication_skills,project_management_skills,0.314639
php,sql,0.314154
agile,cloud,0.313846
sharepoint,svn,0.313376
c#,libvirt,0.313232
c#,qemu,0.313232
c#,virtualbox,0.313232
cloud_computing,management_skills,0.312880
java,sql,0.312678
devops,experience_web_technologies,0.312585
application_development,communication_skills,0.312096
modernization,oracle,0.311745
linux,testing,0.311704
consultant,unix,0.311460
cloud,security,0.310788
devops,management_skills,0.310652
javascript,sql,0.310567
java,testing,0.310552
performance,unix,0.310332
agile,ruby,0.310217
c#,google-app-engine,0.310155
java,ruby-on-rails,0.309910
continuous-integration,experience_web_technologies,0.309772
actionscript,cryptography,0.309695
actionscript,xss,0.309695
engineer,mobile_applications,0.309657
business_requirements,design_implementation,0.309294
google-app-engine,ruby-on-rails,0.308763
sharepoint,wcf,0.308747
javascript,xml,0.308699
supply_chain,windows,0.308676
application_development,creativity,0.308573
architect,oracle,0.308530
.net,git,0.308329
continuous-integration,management_skills,0.308321
data-warehousing,pig,0.308294
data-warehousing,piglatin,0.308294
web-applications,written_communication_skills,0.308153
linux,windows,0.307717
mercurial,wcf,0.307427
architect,cloud,0.307326
asp.net,google-app-engine,0.307241
git,ruby,0.307175
life_cycle,objective-c,0.306912
mainframe,oracle,0.306533
visual-studio,wcf,0.306526
actionscript,encryption,0.306371
data-warehousing,mysql,0.305923
design_implementation,svn,0.305664
hyper-v,supply_chain,0.305596
asp.net,mysql,0.305152
computer-science,svn,0.305106
computer-science,saas,0.304527
life_cycle,video,0.304134
mapreduce,mysql,0.304024
computer-science,mobile_applications,0.304007
c#,java,0.303961
consultant,oracle,0.303904
agile-project-management,software-engineering,0.303851
estimation,software-engineering,0.303851
extreme-programming,software-engineering,0.303851
greenhopper,software-engineering,0.303851
software-engineering,sprint,0.303851
software-engineering,tdd,0.303851
experience_web_technologies,linux,0.303364
mobile_applications,software_development,0.303305
executive_level,mainframe,0.303295
mainframe,spring,0.303278
distributed-computing,hbase,0.303248
html,ssl,0.303015
experience_web_technologies,networking,0.302709
application_modernization,executive_level,0.302220
management_skills,ruby,0.302100
database,pig,0.301936
database,piglatin,0.301936
deliver,xml,0.301667
experience_web_technologies,puppet,0.301476
agile,project_management_skills,0.301210
mysql,web-applications,0.300871
hive,mysql,0.300348
management_skills,sap,0.300323
.net,business_requirements,0.299986
design_implementation,experience_web_technologies,0.299958
design_implementation,spring,0.299007
management_skills,puppet,0.298389
creativity,video,0.298095
experience_web_technologies,ruby,0.297959
ajax,java,0.297935
business_requirements,javascript,0.297768
postgresql,web-analytics,0.297757
consultant,xml,0.297548
objective-c,performance,0.297346
.net,ubuntu,0.297228
cloud_computing,java,0.297164
encryption,mysql,0.297120
data-warehousing,hdfs,0.297117
engineer,svn,0.296963
postgresql,reporting-services,0.296956
html,performance,0.296857
hdfs,mysql,0.296362
database,google-app-engine,0.296327
networking,security,0.296002
postgresql,ruby-on-rails,0.295943
google-analytics,postgresql,0.295884
database,sql-server,0.295646
postgresql,statistics,0.295529
flurry,postgresql,0.295415
marketing,python,0.295226
migration,performance,0.295019
executive_level,legacy,0.294894
visual-studio,vmware,0.293762
agile,java,0.293738
c#,hosting,0.293706
database,ruby,0.293420
agile,experience_web_technologies,0.293094
mobile_applications,written_communication_skills,0.292898
executive_level,mobile_applications,0.292741
c#,tfs,0.292592
algorithm,performance,0.292157
software-engineering,unit-testing,0.291748
modernization,virtualization,0.291509
agile,devops,0.291484
.net,distributed-computing,0.291441
html,windows,0.291283
engineer,java,0.291214
google-app-engine,java,0.291112
kanban,software-engineering,0.290617
cryptography,mysql,0.289695
mysql,xss,0.289695
actionscript,php,0.289602
apache,windows,0.289372
ssl,vmware,0.289304
computer-science,soa,0.289300
architect,partner,0.288876
svn,tfs,0.288791
agile-project-management,version-control,0.288781
estimation,version-control,0.288781
extreme-programming,version-control,0.288781
greenhopper,version-control,0.288781
sprint,version-control,0.288781
tdd,version-control,0.288781
design_implementation,networking,0.288772
.net,jvm,0.288715
mysql,web-security,0.288642
cloud,spring,0.288550
deployment,experience_web_technologies,0.288103
mysql,olap,0.288030
javascript,passionate,0.288000
life_cycle,vmware,0.287704
management_skills,soa,0.287302
partner,supply_chain,0.287265
agile,continuous-integration,0.287018
.net,consultant,0.286175
cordova,objective-c,0.285909
software_development_life_cycle,tfs,0.285771
business_requirements,unix,0.285728
ajax,linq,0.285316
computer-science,networking,0.285055
management_skills,unix,0.284837
database,devops,0.284648
application_modernization,virtualization,0.284604
devops,git,0.284012
ajax,experience_web_technologies,0.283670
leader,networking,0.283574
agile,security,0.283559
version-control,wcf,0.283523
jira,ruby-on-rails,0.283373
development_experience,java,0.283364
design_implementation,partner,0.282324
automation,mobile_applications,0.282292
.net,legacy,0.281952
java,svn,0.281828
kanban,version-control,0.281415
mobile_applications,testing,0.281300
cassandra,sql,0.281257
cloud-hosting,database,0.280882
management_skills,networking,0.280869
engineer,saas,0.280852
continuous-integration,database,0.279748
ajax,asp.net,0.278783
ability_manage,soa,0.278740
innovative,security,0.278733
distributed-computing,r,0.278420
mobile_applications,oracle,0.278313
apache,engineer,0.278275
database,puppet,0.278179
legacy,virtualization,0.278106
objective-c,supply_chain,0.277679
azure,database,0.277221
ajax,apache,0.277219
apache,hyper-v,0.276979
mysql,pig,0.276674
mysql,piglatin,0.276674
alfresco,wcf,0.276659
wcf,workflow-activity,0.276659
wcf,workflow-foundation,0.276659
wcf,workflow-foundation-4,0.276659
design_implementation,linux,0.276081
linux,performance,0.275869
cloud_computing,libvirt,0.275811
cloud_computing,qemu,0.275811
cloud_computing,virtualbox,0.275811
agile,management_skills,0.275740
algorithm,linq,0.275678
postgresql,ssas,0.275556
git,puppet,0.275443
leader,linux,0.275285
hadoop,python,0.274960
migration,ssl,0.274631
deployment,git,0.274121
cloud_computing,linux-kernel,0.274006
cloud_computing,kvm,0.273032
objective-c,phonegap,0.272670
migration,supply_chain,0.272408
saas,software-engineering,0.272332
application_development,soa,0.272315
cloud_computing,design_implementation,0.272142
deployment,java,0.272124
ios,ruby-on-rails,0.271803
cloud_computing,virtual-machine,0.271767
architecture_experience,engineer,0.271760
ruby,security,0.271595
devops,security,0.271555
experience_web_technologies,web-applications,0.271161
mobile_applications,xml,0.271126
distributed-computing,java,0.271004
nosql,sql,0.270982
algorithm,html,0.270835
sql,web-applications,0.270402
cloud_computing,osx,0.270378
life_cycle,unix,0.270162
java,ruby,0.269900
experience_web_technologies,java,0.269744
visual-studio,windows,0.269722
apache,xml,0.269508
ability_manage,oracle,0.269443
design_implementation,unix,0.269413
google-app-engine,php,0.268634
cloud_computing,xen,0.268612
c#,ssl,0.268337
ruby-on-rails,unit-testing,0.268281
mainframe,virtualization,0.268071
continuous-integration,security,0.267770
migration,partner,0.267041
java,postgresql,0.266594
design_implementation,python,0.266580
.net,application_modernization,0.266119
migration,virtualization,0.266088
.net,modernization,0.265779
experience_web_technologies,software_development,0.265633
marketing,supply_chain,0.265522
agile,deployment,0.265521
ruby-on-rails,sql,0.265484
passionate,supply_chain,0.265333
mysql,web-analytics,0.265331
azure,c#,0.265054
design_implementation,sql,0.264647
unix,written_communication_skills,0.264570
communication_skills,saas,0.264434
asp.net,xml,0.264264
.net,ssl,0.264201
asp.net,objective-c,0.263997
.net,javascript,0.263978
css,java,0.263729
air,objective-c,0.263125
deployment,security,0.262966
scrum,version-control,0.262854
hbase,sql,0.262261
marketing,security,0.262173
algorithm,olap,0.262151
oracle,software_development_life_cycle,0.261945
git,wcf,0.260915
java,puppet,0.260169
architecture_experience,spring,0.260154
executive_level,virtualization,0.260145
android,javascript,0.260113
magento,sql-server,0.259966
mobile_applications,python,0.259900
.net,mainframe,0.258897
cloud_computing,jvm,0.258878
consultant,spring,0.258567
jira,software-engineering,0.257263
business_requirements,sql,0.257050
asp.net,visual-studio,0.256722
.net,migration,0.256674
cloud_computing,wpf,0.256657
communication_skills,java,0.256532
leader,mobile_applications,0.256519
database,hosting,0.256470
postgresql,reporting,0.256370
ssl,xml,0.256004
azure,wcf,0.255963
data-warehousing,database,0.255877
erp,sql-server,0.255804
ofbiz,sql-server,0.255511
openerp,sql-server,0.255170
java,jquery,0.255148
r,sql,0.254907
java,saas,0.254671
hyper-v,visual-studio,0.254547
communication_skills,soa,0.254254
c#,vmware,0.253598
performance,xml,0.253405
flurry,ios,0.253387
agile-project-management,ruby-on-rails,0.253263
estimation,ruby-on-rails,0.253263
extreme-programming,ruby-on-rails,0.253263
greenhopper,ruby-on-rails,0.253263
ruby-on-rails,sprint,0.253263
ruby-on-rails,tdd,0.253263
networking,virtual-machine,0.253090
networking,xen,0.253083
kvm,networking,0.252940
security,testing,0.252597
google-analytics,ios,0.252168
libvirt,networking,0.252167
networking,qemu,0.252167
networking,virtualbox,0.252167
linux-kernel,networking,0.252165
ios,statistics,0.252116
apache,database,0.251834
java,software_development,0.251700
engineer,mysql,0.251519
supply_chain,vmware,0.251372
application_development,unix,0.250838
git,networking,0.250817
kanban,ruby-on-rails,0.250401
asp.net,html5,0.249812
cloud-hosting,wcf,0.249622
creativity,hyper-v,0.249579
saas,xml,0.249349
actionscript,ruby-on-rails,0.249336
c#,cloud-hosting,0.249287
.net,information_technology,0.249195
olap,postgresql,0.249188
c#,spring,0.249169
migration,oracle,0.249082
openstack,windows,0.248106
architecture_experience,software_development,0.247612
executive_level,migration,0.247570
software-engineering,written_communication_skills,0.247569
ajax,jquery,0.247550
networking,osx,0.247399
unix,xml,0.247314
php,web-analytics,0.247247
database,development_experience,0.247242
cloud_computing,ubuntu,0.246942
web-analytics,web-applications,0.246608
java,linux,0.246445
actionscript,java,0.246347
networking,ubuntu,0.246276
jvm,networking,0.246254
mysql,reporting-services,0.246041
experience_web_technologies,passionate,0.245988
c#,open-source,0.245718
architecture_experience,design_implementation,0.245717
application_development,computer-science,0.245675
database,olap,0.245642
ajax,ssl,0.245016
creativity,migration,0.244519
azure,java,0.244323
ios,reporting-services,0.244156
data-warehousing,driven,0.243985
creativity,windows,0.243846
marketing,web-applications,0.243280
.net,experience_web_technologies,0.242686
mobile_applications,video,0.242541
javascript,partner,0.242291
google-analytics,mysql,0.241766
prototyping,python,0.241685
business_requirements,consumer_insights,0.241555
business_requirements,experience_software_development_lifecycle,0.241555
phonegap,ruby-on-rails,0.241526
development_experience,leader,0.241522
html,unix,0.241431
hive,sql,0.241114
asp.net,html,0.241052
mysql,statistics,0.240973
leader,spring,0.240853
flurry,mysql,0.240784
migration,spring,0.240295
hdfs,python,0.240193
html,java,0.239639
design_implementation,javascript,0.239461
.net,tfs,0.239160
cloud-hosting,experience_software_development_lifecycle,0.238719
cloud-hosting,consumer_insights,0.238719
objective-c,olap,0.238695
cloud-hosting,java,0.238368
flex,java,0.238152
php,visual-studio,0.237908
mysql,ssas,0.237852
mapreduce,python,0.237794
cloud_computing,database,0.237534
experience_web_technologies,video,0.237473
application_development,business_requirements,0.237136
hadoop,java,0.237031
azure,experience_software_development_lifecycle,0.236985
azure,consumer_insights,0.236985
html,passionate,0.236857
networking,wpf,0.236527
computer-science,puppet,0.236483
javascript,web-security,0.235880
architect,software_development,0.235531
python,unix,0.235212
azure,ubuntu,0.235008
software_development,testing,0.234447
hadoop,sql,0.234409
linux,security,0.233151
python,software-engineering,0.232970
hosting,xen,0.232809
asp.net,windows,0.232774
design_implementation,html,0.232745
postgresql,ssis,0.232534
development_experience,testing,0.232505
creativity,objective-c,0.231970
ruby-on-rails,version-control,0.231767
pig,python,0.231754
piglatin,python,0.231754
hosting,wcf,0.231370
linux,svn,0.230947
experience_software_development_lifecycle,hosting,0.230803
consumer_insights,hosting,0.230803
hbase,python,0.230600
driven,virtualization,0.230535
nosql,python,0.230525
experience_software_development_lifecycle,google-app-engine,0.230449
consumer_insights,google-app-engine,0.230449
business_requirements,spring,0.229785
management_skills,mysql,0.229502
.net,wpf,0.229322
javascript,spring,0.229291
cassandra,python,0.229235
development_experience,git,0.229214
experience_web_technologies,testing,0.228928
cryptography,javascript,0.228764
javascript,xss,0.228764
deliver,html,0.228310
python,r,0.228301
html,linq,0.228197
algorithm,application_development,0.228122
algorithm,mysql,0.227987
hive,python,0.227806
asp.net,flex,0.227780
agile,tfs,0.227505
information_technology,marketing,0.227243
c#,magento,0.227215
soa,testing,0.227164
apache,vmware,0.227148
architect,executive_level,0.227145
information_technology,supply_chain,0.226524
database,ssis,0.226391
devops,java,0.226272
continuous-integration,java,0.226238
web-applications,xml,0.226037
linux,management_skills,0.225977
encryption,javascript,0.225745
apache,objective-c,0.225742
executive_level,openstack,0.225683
ajax,life_cycle,0.225446
database,java,0.224540
driven,project_management_skills,0.224433
wcf,xml,0.224397
distributed-computing,pig,0.224294
