Column 0,Date,Hospital,Asthma Related Admissions,OZONE,PM10,PM2.5
759,3/12/2016 12:00:00 AM,Hudson Valley Hospital,26,26,9,26
760,3/13/2016 12:00:00 AM,Hudson Valley Hospital,1,39,12,35
761,3/14/2016 12:00:00 AM,Hudson Valley Hospital,10,35,10,23
762,3/15/2016 12:00:00 AM,Hudson Valley Hospital,14,33,6,42
763,3/16/2016 12:00:00 AM,Hudson Valley Hospital,22,29,21,44
764,3/17/2016 12:00:00 AM,Hudson Valley Hospital,9,39,12,29
765,3/18/2016 12:00:00 AM,Hudson Valley Hospital,17,37,6,38
766,3/19/2016 12:00:00 AM,Hudson Valley Hospital,20,37,3,23
767,3/20/2016 12:00:00 AM,Hudson Valley Hospital,16,40,7,23
768,3/21/2016 12:00:00 AM,Hudson Valley Hospital,6,40,8,27
769,3/22/2016 12:00:00 AM,Hudson Valley Hospital,4,42,13,31
770,3/23/2016 12:00:00 AM,Hudson Valley Hospital,0,58,20,55
771,3/24/2016 12:00:00 AM,Hudson Valley Hospital,12,42,19,53
772,3/25/2016 12:00:00 AM,Hudson Valley Hospital,8,42,25,55
773,3/26/2016 12:00:00 AM,Hudson Valley Hospital,22,35,6,21
774,3/27/2016 12:00:00 AM,Hudson Valley Hospital,12,39,9,22
775,3/28/2016 12:00:00 AM,Hudson Valley Hospital,24,40,4,21
776,3/29/2016 12:00:00 AM,Hudson Valley Hospital,2,44,2,24
777,3/30/2016 12:00:00 AM,Hudson Valley Hospital,23,44,13,33
778,3/31/2016 12:00:00 AM,Hudson Valley Hospital,0,49,26,49
779,4/1/2016 12:00:00 AM,Hudson Valley Hospital,10,45,14,48
780,4/2/2016 12:00:00 AM,Hudson Valley Hospital,24,37,8,23
781,4/3/2016 12:00:00 AM,Hudson Valley Hospital,26,40,3,25
782,4/4/2016 12:00:00 AM,Hudson Valley Hospital,11,31,8,46
783,4/5/2016 12:00:00 AM,Hudson Valley Hospital,24,40,9,32
784,4/6/2016 12:00:00 AM,Hudson Valley Hospital,30,46,13,24
785,4/7/2016 12:00:00 AM,Hudson Valley Hospital,8,43,12,25
786,4/8/2016 12:00:00 AM,Hudson Valley Hospital,24,38,5,37
787,4/9/2016 12:00:00 AM,Hudson Valley Hospital,4,36,8,41
788,4/10/2016 12:00:00 AM,Hudson Valley Hospital,7,40,9,27
789,4/11/2016 12:00:00 AM,Hudson Valley Hospital,27,44,22,44
790,4/12/2016 12:00:00 AM,Hudson Valley Hospital,4,36,13,37
791,4/13/2016 12:00:00 AM,Hudson Valley Hospital,1,39,7,25
792,4/14/2016 12:00:00 AM,Hudson Valley Hospital,25,39,8,30
793,4/15/2016 12:00:00 AM,Hudson Valley Hospital,11,42,8,32
794,4/16/2016 12:00:00 AM,Hudson Valley Hospital,1,46,6,27
795,4/17/2016 12:00:00 AM,Hudson Valley Hospital,7,50,12,38
796,4/18/2016 12:00:00 AM,Hudson Valley Hospital,1,74,21,42
797,4/19/2016 12:00:00 AM,Hudson Valley Hospital,2,51,17,30
798,4/20/2016 12:00:00 AM,Hudson Valley Hospital,25,49,9,17
799,4/21/2016 12:00:00 AM,Hudson Valley Hospital,27,71,22,52
800,4/22/2016 12:00:00 AM,Hudson Valley Hospital,18,74,36,86
801,4/23/2016 12:00:00 AM,Hudson Valley Hospital,8,39,11,31
802,4/24/2016 12:00:00 AM,Hudson Valley Hospital,16,47,6,21
803,4/25/2016 12:00:00 AM,Hudson Valley Hospital,2,47,17,44
804,4/26/2016 12:00:00 AM,Hudson Valley Hospital,6,33,19,44
805,4/27/2016 12:00:00 AM,Hudson Valley Hospital,1,35,11,19
806,4/28/2016 12:00:00 AM,Hudson Valley Hospital,0,45,11,22
807,4/29/2016 12:00:00 AM,Hudson Valley Hospital,9,43,13,23
808,4/30/2016 12:00:00 AM,Hudson Valley Hospital,28,48,10,22
809,5/1/2016 12:00:00 AM,Hudson Valley Hospital,25,38,5,14
810,5/2/2016 12:00:00 AM,Hudson Valley Hospital,17,31,19,47
811,5/3/2016 12:00:00 AM,Hudson Valley Hospital,26,29,7,19
812,5/4/2016 12:00:00 AM,Hudson Valley Hospital,13,28,5,14
813,5/5/2016 12:00:00 AM,Hudson Valley Hospital,20,29,4,21
814,5/6/2016 12:00:00 AM,Hudson Valley Hospital,1,28,6,17
815,5/7/2016 12:00:00 AM,Hudson Valley Hospital,5,25,7,19
816,5/8/2016 12:00:00 AM,Hudson Valley Hospital,8,37,8,21
817,5/9/2016 12:00:00 AM,Hudson Valley Hospital,19,47,14,40
818,5/10/2016 12:00:00 AM,Hudson Valley Hospital,18,35,10,21
819,5/11/2016 12:00:00 AM,Hudson Valley Hospital,11,44,18,48
820,5/12/2016 12:00:00 AM,Hudson Valley Hospital,16,97,26,54
821,5/13/2016 12:00:00 AM,Hudson Valley Hospital,2,34,24,69
822,5/14/2016 12:00:00 AM,Hudson Valley Hospital,34,49,11,61
823,5/15/2016 12:00:00 AM,Hudson Valley Hospital,22,30,3,27
824,5/16/2016 12:00:00 AM,Hudson Valley Hospital,4,41,8,47
825,5/17/2016 12:00:00 AM,Hudson Valley Hospital,5,38,14,64
826,5/18/2016 12:00:00 AM,Hudson Valley Hospital,32,42,10,59
827,5/19/2016 12:00:00 AM,Hudson Valley Hospital,11,45,16,65
828,5/20/2016 12:00:00 AM,Hudson Valley Hospital,5,48,12,28
829,5/21/2016 12:00:00 AM,Hudson Valley Hospital,23,44,16,34
830,5/22/2016 12:00:00 AM,Hudson Valley Hospital,36,48,9,22
831,5/23/2016 12:00:00 AM,Hudson Valley Hospital,27,58,15,31
832,5/24/2016 12:00:00 AM,Hudson Valley Hospital,12,38,12,39
833,5/25/2016 12:00:00 AM,Hudson Valley Hospital,0,151,24,66
834,5/26/2016 12:00:00 AM,Hudson Valley Hospital,9,133,28,67
835,5/27/2016 12:00:00 AM,Hudson Valley Hospital,33,101,39,74
836,5/28/2016 12:00:00 AM,Hudson Valley Hospital,15,112,26,58
837,5/29/2016 12:00:00 AM,Hudson Valley Hospital,5,74,13,34
838,5/30/2016 12:00:00 AM,Hudson Valley Hospital,7,37,NA,19
839,5/31/2016 12:00:00 AM,Hudson Valley Hospital,15,64,NA,34
840,6/1/2016 12:00:00 AM,Hudson Valley Hospital,25,54,15,41
841,6/2/2016 12:00:00 AM,Hudson Valley Hospital,9,44,13,33
842,6/3/2016 12:00:00 AM,Hudson Valley Hospital,0,24,14,37
843,6/4/2016 12:00:00 AM,Hudson Valley Hospital,14,71,18,50
844,6/5/2016 12:00:00 AM,Hudson Valley Hospital,42,35,3,18
845,6/6/2016 12:00:00 AM,Hudson Valley Hospital,4,71,8,26
846,6/7/2016 12:00:00 AM,Hudson Valley Hospital,45,71,11,37
847,6/8/2016 12:00:00 AM,Hudson Valley Hospital,16,28,5,17
848,6/9/2016 12:00:00 AM,Hudson Valley Hospital,46,42,8,12
849,6/10/2016 12:00:00 AM,Hudson Valley Hospital,18,42,7,16
850,6/11/2016 12:00:00 AM,Hudson Valley Hospital,31,101,20,55
851,6/12/2016 12:00:00 AM,Hudson Valley Hospital,2,46,15,34
852,6/13/2016 12:00:00 AM,Hudson Valley Hospital,22,29,3,27
853,6/14/2016 12:00:00 AM,Hudson Valley Hospital,33,40,6,23
854,6/15/2016 12:00:00 AM,Hudson Valley Hospital,5,87,12,38
855,6/16/2016 12:00:00 AM,Hudson Valley Hospital,23,44,21,54
856,6/17/2016 12:00:00 AM,Hudson Valley Hospital,25,50,16,36
857,6/18/2016 12:00:00 AM,Hudson Valley Hospital,50,84,11,32
858,6/19/2016 12:00:00 AM,Hudson Valley Hospital,9,84,16,35
859,6/20/2016 12:00:00 AM,Hudson Valley Hospital,3,71,18,39
860,6/21/2016 12:00:00 AM,Hudson Valley Hospital,2,90,15,42
861,6/22/2016 12:00:00 AM,Hudson Valley Hospital,1,54,15,45
862,6/23/2016 12:00:00 AM,Hudson Valley Hospital,38,64,25,57
863,6/24/2016 12:00:00 AM,Hudson Valley Hospital,13,87,20,55
864,6/25/2016 12:00:00 AM,Hudson Valley Hospital,9,77,14,37
865,6/26/2016 12:00:00 AM,Hudson Valley Hospital,14,115,15,45
866,6/27/2016 12:00:00 AM,Hudson Valley Hospital,26,49,18,47
867,6/28/2016 12:00:00 AM,Hudson Valley Hospital,1,36,11,41
868,6/29/2016 12:00:00 AM,Hudson Valley Hospital,28,54,10,30
869,6/30/2016 12:00:00 AM,Hudson Valley Hospital,4,58,12,27
870,7/1/2016 12:00:00 AM,Hudson Valley Hospital,10,44,15,33
871,7/2/2016 12:00:00 AM,Hudson Valley Hospital,19,32,9,20
872,7/3/2016 12:00:00 AM,Hudson Valley Hospital,13,44,11,29
873,7/4/2016 12:00:00 AM,Hudson Valley Hospital,30,64,18,50
874,7/5/2016 12:00:00 AM,Hudson Valley Hospital,9,44,NA,22
875,7/6/2016 12:00:00 AM,Hudson Valley Hospital,25,115,16,52
876,7/7/2016 12:00:00 AM,Hudson Valley Hospital,29,80,23,57
877,7/8/2016 12:00:00 AM,Hudson Valley Hospital,13,50,17,46
878,7/9/2016 12:00:00 AM,Hudson Valley Hospital,5,23,10,17
879,7/10/2016 12:00:00 AM,Hudson Valley Hospital,2,34,4,12
880,7/11/2016 12:00:00 AM,Hudson Valley Hospital,40,42,6,12
881,7/12/2016 12:00:00 AM,Hudson Valley Hospital,15,67,11,28
882,7/13/2016 12:00:00 AM,Hudson Valley Hospital,21,44,14,27
883,7/14/2016 12:00:00 AM,Hudson Valley Hospital,10,49,19,65
884,7/15/2016 12:00:00 AM,Hudson Valley Hospital,36,115,19,53
885,7/16/2016 12:00:00 AM,Hudson Valley Hospital,18,90,14,38
886,7/17/2016 12:00:00 AM,Hudson Valley Hospital,1,101,12,44
887,7/18/2016 12:00:00 AM,Hudson Valley Hospital,3,90,16,47
888,7/19/2016 12:00:00 AM,Hudson Valley Hospital,17,36,10,23
889,7/20/2016 12:00:00 AM,Hudson Valley Hospital,9,44,11,24
890,7/21/2016 12:00:00 AM,Hudson Valley Hospital,11,122,20,40
891,7/22/2016 12:00:00 AM,Hudson Valley Hospital,24,140,23,77
892,7/23/2016 12:00:00 AM,Hudson Valley Hospital,4,51,14,60
893,7/24/2016 12:00:00 AM,Hudson Valley Hospital,18,64,13,58
894,7/25/2016 12:00:00 AM,Hudson Valley Hospital,38,100,20,62
895,7/26/2016 12:00:00 AM,Hudson Valley Hospital,18,44,11,27
896,7/27/2016 12:00:00 AM,Hudson Valley Hospital,6,74,13,32
897,7/28/2016 12:00:00 AM,Hudson Valley Hospital,13,101,23,61
898,7/29/2016 12:00:00 AM,Hudson Valley Hospital,4,108,15,52
899,7/30/2016 12:00:00 AM,Hudson Valley Hospital,9,80,19,61
900,7/31/2016 12:00:00 AM,Hudson Valley Hospital,32,38,12,56
901,8/1/2016 12:00:00 AM,Hudson Valley Hospital,32,38,10,43
902,8/2/2016 12:00:00 AM,Hudson Valley Hospital,22,27,9,41
903,8/3/2016 12:00:00 AM,Hudson Valley Hospital,24,38,10,39
904,8/4/2016 12:00:00 AM,Hudson Valley Hospital,37,44,13,32
905,8/5/2016 12:00:00 AM,Hudson Valley Hospital,3,61,16,30
906,8/6/2016 12:00:00 AM,Hudson Valley Hospital,8,47,12,34
907,8/7/2016 12:00:00 AM,Hudson Valley Hospital,22,37,7,19
908,8/8/2016 12:00:00 AM,Hudson Valley Hospital,31,49,10,35
909,8/9/2016 12:00:00 AM,Hudson Valley Hospital,31,90,15,39
910,8/10/2016 12:00:00 AM,Hudson Valley Hospital,3,36,16,35
911,8/11/2016 12:00:00 AM,Hudson Valley Hospital,44,84,19,45
912,8/12/2016 12:00:00 AM,Hudson Valley Hospital,11,71,13,38
913,8/13/2016 12:00:00 AM,Hudson Valley Hospital,46,87,18,51
914,8/14/2016 12:00:00 AM,Hudson Valley Hospital,22,49,8,31
915,8/15/2016 12:00:00 AM,Hudson Valley Hospital,6,64,10,32
916,8/16/2016 12:00:00 AM,Hudson Valley Hospital,12,47,17,42
917,8/17/2016 12:00:00 AM,Hudson Valley Hospital,53,38,7,13
918,8/18/2016 12:00:00 AM,Hudson Valley Hospital,7,54,12,36
919,8/19/2016 12:00:00 AM,Hudson Valley Hospital,14,74,15,39
920,8/20/2016 12:00:00 AM,Hudson Valley Hospital,28,51,15,37
921,8/21/2016 12:00:00 AM,Hudson Valley Hospital,38,44,10,22
922,8/22/2016 12:00:00 AM,Hudson Valley Hospital,28,31,6,12
923,8/23/2016 12:00:00 AM,Hudson Valley Hospital,11,61,10,22
924,8/24/2016 12:00:00 AM,Hudson Valley Hospital,3,100,17,41
925,8/25/2016 12:00:00 AM,Hudson Valley Hospital,19,61,20,43
926,8/26/2016 12:00:00 AM,Hudson Valley Hospital,56,44,16,42
927,8/27/2016 12:00:00 AM,Hudson Valley Hospital,30,44,12,29
928,8/28/2016 12:00:00 AM,Hudson Valley Hospital,43,51,11,28
929,8/29/2016 12:00:00 AM,Hudson Valley Hospital,15,46,11,23
930,8/30/2016 12:00:00 AM,Hudson Valley Hospital,63,54,10,27
931,8/31/2016 12:00:00 AM,Hudson Valley Hospital,22,77,18,44
932,9/1/2016 12:00:00 AM,Hudson Valley Hospital,3,39,15,53
933,9/2/2016 12:00:00 AM,Hudson Valley Hospital,6,30,6,19
934,9/3/2016 12:00:00 AM,Hudson Valley Hospital,6,31,9,27
935,9/4/2016 12:00:00 AM,Hudson Valley Hospital,25,34,7,19
936,9/5/2016 12:00:00 AM,Hudson Valley Hospital,7,33,7,18
937,9/6/2016 12:00:00 AM,Hudson Valley Hospital,14,31,7,37
938,9/7/2016 12:00:00 AM,Hudson Valley Hospital,25,39,9,26
939,9/8/2016 12:00:00 AM,Hudson Valley Hospital,61,97,23,56
940,9/9/2016 12:00:00 AM,Hudson Valley Hospital,7,64,14,52
941,9/10/2016 12:00:00 AM,Hudson Valley Hospital,25,67,20,62
942,9/11/2016 12:00:00 AM,Hudson Valley Hospital,4,35,10,28
943,9/12/2016 12:00:00 AM,Hudson Valley Hospital,27,37,7,18
944,9/13/2016 12:00:00 AM,Hudson Valley Hospital,28,44,15,24
945,9/14/2016 12:00:00 AM,Hudson Valley Hospital,40,87,16,39
946,9/15/2016 12:00:00 AM,Hudson Valley Hospital,57,34,4,15
947,9/16/2016 12:00:00 AM,Hudson Valley Hospital,2,38,9,29
948,9/17/2016 12:00:00 AM,Hudson Valley Hospital,12,34,10,19
949,9/18/2016 12:00:00 AM,Hudson Valley Hospital,35,31,12,34
950,9/19/2016 12:00:00 AM,Hudson Valley Hospital,46,25,11,28
951,9/20/2016 12:00:00 AM,Hudson Valley Hospital,6,34,12,32
952,9/21/2016 12:00:00 AM,Hudson Valley Hospital,12,46,13,35
953,9/22/2016 12:00:00 AM,Hudson Valley Hospital,29,54,12,31
954,9/23/2016 12:00:00 AM,Hudson Valley Hospital,36,93,21,49
955,9/24/2016 12:00:00 AM,Hudson Valley Hospital,13,31,6,15
956,9/25/2016 12:00:00 AM,Hudson Valley Hospital,45,33,5,18
957,9/26/2016 12:00:00 AM,Hudson Valley Hospital,35,44,10,21
958,9/27/2016 12:00:00 AM,Hudson Valley Hospital,26,39,11,31
959,9/28/2016 12:00:00 AM,Hudson Valley Hospital,19,30,13,34
960,9/29/2016 12:00:00 AM,Hudson Valley Hospital,7,29,11,22
961,9/30/2016 12:00:00 AM,Hudson Valley Hospital,21,23,8,22
962,10/1/2016 12:00:00 AM,Hudson Valley Hospital,15,22,3,13
963,10/2/2016 12:00:00 AM,Hudson Valley Hospital,6,17,7,27
964,10/3/2016 12:00:00 AM,Hudson Valley Hospital,42,29,16,52
965,10/4/2016 12:00:00 AM,Hudson Valley Hospital,29,28,10,30
966,10/5/2016 12:00:00 AM,Hudson Valley Hospital,17,31,12,27
967,10/6/2016 12:00:00 AM,Hudson Valley Hospital,15,41,21,41
968,10/7/2016 12:00:00 AM,Hudson Valley Hospital,9,48,23,47
969,10/8/2016 12:00:00 AM,Hudson Valley Hospital,7,26,12,36
970,10/9/2016 12:00:00 AM,Hudson Valley Hospital,14,21,6,16
971,10/10/2016 12:00:00 AM,Hudson Valley Hospital,56,31,5,19
972,10/11/2016 12:00:00 AM,Hudson Valley Hospital,30,27,9,25
973,10/12/2016 12:00:00 AM,Hudson Valley Hospital,30,32,12,35
974,10/13/2016 12:00:00 AM,Hudson Valley Hospital,24,23,16,38
975,10/14/2016 12:00:00 AM,Hudson Valley Hospital,45,28,7,21
976,10/15/2016 12:00:00 AM,Hudson Valley Hospital,12,39,8,22
977,10/16/2016 12:00:00 AM,Hudson Valley Hospital,56,40,13,33
978,10/17/2016 12:00:00 AM,Hudson Valley Hospital,2,45,22,58
979,10/18/2016 12:00:00 AM,Hudson Valley Hospital,16,43,30,63
980,10/19/2016 12:00:00 AM,Hudson Valley Hospital,57,40,15,39
981,10/20/2016 12:00:00 AM,Hudson Valley Hospital,26,33,26,63
982,10/21/2016 12:00:00 AM,Hudson Valley Hospital,28,23,NA,37
983,10/22/2016 12:00:00 AM,Hudson Valley Hospital,22,23,3,15
984,10/23/2016 12:00:00 AM,Hudson Valley Hospital,29,31,6,24
985,10/24/2016 12:00:00 AM,Hudson Valley Hospital,5,32,9,32
986,10/25/2016 12:00:00 AM,Hudson Valley Hospital,20,25,6,32
987,10/26/2016 12:00:00 AM,Hudson Valley Hospital,7,27,9,19
988,10/27/2016 12:00:00 AM,Hudson Valley Hospital,12,33,7,27
989,10/28/2016 12:00:00 AM,Hudson Valley Hospital,38,24,5,20
990,10/29/2016 12:00:00 AM,Hudson Valley Hospital,13,32,13,36
991,10/30/2016 12:00:00 AM,Hudson Valley Hospital,55,39,17,56
992,10/31/2016 12:00:00 AM,Hudson Valley Hospital,8,26,5,20
993,11/1/2016 12:00:00 AM,Hudson Valley Hospital,2,31,12,39
994,11/2/2016 12:00:00 AM,Hudson Valley Hospital,40,21,23,52
995,11/3/2016 12:00:00 AM,Hudson Valley Hospital,7,30,28,60
996,11/4/2016 12:00:00 AM,Hudson Valley Hospital,8,31,6,24
997,11/5/2016 12:00:00 AM,Hudson Valley Hospital,2,29,9,34
998,11/6/2016 12:00:00 AM,Hudson Valley Hospital,24,28,6,26
999,11/7/2016 12:00:00 AM,Hudson Valley Hospital,25,23,7,29
1000,11/8/2016 12:00:00 AM,Hudson Valley Hospital,6,24,19,47
1001,11/9/2016 12:00:00 AM,Hudson Valley Hospital,32,19,16,56
1002,11/10/2016 12:00:00 AM,Hudson Valley Hospital,0,26,6,24
1003,11/11/2016 12:00:00 AM,Hudson Valley Hospital,17,31,9,31
1004,11/12/2016 12:00:00 AM,Hudson Valley Hospital,10,32,6,25
1005,11/13/2016 12:00:00 AM,Hudson Valley Hospital,20,36,9,45
1006,11/14/2016 12:00:00 AM,Hudson Valley Hospital,1,26,20,53
1007,11/15/2016 12:00:00 AM,Hudson Valley Hospital,12,26,10,41
1008,11/16/2016 12:00:00 AM,Hudson Valley Hospital,23,33,17,53
1009,11/17/2016 12:00:00 AM,Hudson Valley Hospital,10,31,15,54
1010,11/18/2016 12:00:00 AM,Hudson Valley Hospital,28,22,14,62
1011,11/19/2016 12:00:00 AM,Hudson Valley Hospital,24,29,15,45
1012,11/20/2016 12:00:00 AM,Hudson Valley Hospital,13,39,NA,18
1013,11/21/2016 12:00:00 AM,Hudson Valley Hospital,12,35,2,23
1014,11/22/2016 12:00:00 AM,Hudson Valley Hospital,0,31,3,33
1015,11/23/2016 12:00:00 AM,Hudson Valley Hospital,2,31,6,33
1016,11/24/2016 12:00:00 AM,Hudson Valley Hospital,1,20,9,40
1017,11/25/2016 12:00:00 AM,Hudson Valley Hospital,14,7,27,70
1018,11/26/2016 12:00:00 AM,Hudson Valley Hospital,29,19,10,42
1019,11/27/2016 12:00:00 AM,Hudson Valley Hospital,16,35,4,29
1020,11/28/2016 12:00:00 AM,Hudson Valley Hospital,19,31,14,45
1021,11/29/2016 12:00:00 AM,Hudson Valley Hospital,24,33,12,37
1022,11/30/2016 12:00:00 AM,Hudson Valley Hospital,17,24,15,49
1023,12/1/2016 12:00:00 AM,Hudson Valley Hospital,16,24,6,27
1024,12/2/2016 12:00:00 AM,Hudson Valley Hospital,2,23,5,35
1025,12/3/2016 12:00:00 AM,Hudson Valley Hospital,15,42,4,31
1026,12/4/2016 12:00:00 AM,Hudson Valley Hospital,14,39,4,36
1027,12/5/2016 12:00:00 AM,Hudson Valley Hospital,6,19,8,41
1028,12/6/2016 12:00:00 AM,Hudson Valley Hospital,30,25,9,44
1029,12/7/2016 12:00:00 AM,Hudson Valley Hospital,18,15,9,59
1030,12/8/2016 12:00:00 AM,Hudson Valley Hospital,34,26,13,58
1031,12/9/2016 12:00:00 AM,Hudson Valley Hospital,22,31,7,35
1032,12/10/2016 12:00:00 AM,Hudson Valley Hospital,21,29,7,42
1033,12/11/2016 12:00:00 AM,Hudson Valley Hospital,1,19,12,38
1034,12/12/2016 12:00:00 AM,Hudson Valley Hospital,11,17,13,52
1035,12/13/2016 12:00:00 AM,Hudson Valley Hospital,27,17,16,54
1036,12/14/2016 12:00:00 AM,Hudson Valley Hospital,7,26,17,51
1037,12/15/2016 12:00:00 AM,Hudson Valley Hospital,2,31,9,45
1038,12/16/2016 12:00:00 AM,Hudson Valley Hospital,13,24,14,49
1039,12/17/2016 12:00:00 AM,Hudson Valley Hospital,11,9,13,49
1040,12/18/2016 12:00:00 AM,Hudson Valley Hospital,0,30,11,57
1041,12/19/2016 12:00:00 AM,Hudson Valley Hospital,7,33,5,38
1042,12/20/2016 12:00:00 AM,Hudson Valley Hospital,2,20,17,43
1043,12/21/2016 12:00:00 AM,Hudson Valley Hospital,1,13,24,62
1044,12/22/2016 12:00:00 AM,Hudson Valley Hospital,29,23,21,57
1045,12/23/2016 12:00:00 AM,Hudson Valley Hospital,20,29,13,50
1046,12/24/2016 12:00:00 AM,Hudson Valley Hospital,10,25,14,53
1047,12/25/2016 12:00:00 AM,Hudson Valley Hospital,14,31,6,49
1048,12/26/2016 12:00:00 AM,Hudson Valley Hospital,1,27,9,41
1049,12/27/2016 12:00:00 AM,Hudson Valley Hospital,17,27,NA,44
1050,12/28/2016 12:00:00 AM,Hudson Valley Hospital,3,25,NA,42
1051,12/29/2016 12:00:00 AM,Hudson Valley Hospital,4,22,11,44
1052,12/30/2016 12:00:00 AM,Hudson Valley Hospital,9,25,6,45
1053,12/31/2016 12:00:00 AM,Hudson Valley Hospital,5,29,9,42
1054,1/1/2017 12:00:00 AM,Hudson Valley Hospital,25,31,10,59
1055,1/2/2017 12:00:00 AM,Hudson Valley Hospital,1,27,11,57
1056,1/3/2017 12:00:00 AM,Hudson Valley Hospital,15,28,4,43
1057,1/4/2017 12:00:00 AM,Hudson Valley Hospital,23,30,9,46
1058,1/5/2017 12:00:00 AM,Hudson Valley Hospital,20,29,10,49
1059,1/6/2017 12:00:00 AM,Hudson Valley Hospital,11,29,13,52
1060,1/7/2017 12:00:00 AM,Hudson Valley Hospital,4,27,10,53
1061,1/8/2017 12:00:00 AM,Hudson Valley Hospital,4,31,9,54
1062,1/9/2017 12:00:00 AM,Hudson Valley Hospital,16,19,14,50
1063,1/10/2017 12:00:00 AM,Hudson Valley Hospital,6,26,19,53
1064,1/11/2017 12:00:00 AM,Hudson Valley Hospital,19,20,17,52
1065,1/12/2017 12:00:00 AM,Hudson Valley Hospital,6,24,15,56
1066,1/13/2017 12:00:00 AM,Hudson Valley Hospital,2,35,9,44
1067,1/14/2017 12:00:00 AM,Hudson Valley Hospital,25,29,9,44
1068,1/15/2017 12:00:00 AM,Hudson Valley Hospital,28,30,16,52
1069,1/16/2017 12:00:00 AM,Hudson Valley Hospital,3,19,28,59
1070,1/17/2017 12:00:00 AM,Hudson Valley Hospital,5,24,33,74
1071,1/18/2017 12:00:00 AM,Hudson Valley Hospital,6,26,6,53
1072,1/19/2017 12:00:00 AM,Hudson Valley Hospital,9,21,8,50
1073,1/20/2017 12:00:00 AM,Hudson Valley Hospital,25,20,12,56
1074,1/21/2017 12:00:00 AM,Hudson Valley Hospital,8,8,22,63
1075,1/22/2017 12:00:00 AM,Hudson Valley Hospital,2,23,20,62
1076,1/23/2017 12:00:00 AM,Hudson Valley Hospital,0,33,6,38
1077,1/24/2017 12:00:00 AM,Hudson Valley Hospital,21,31,2,31
1078,1/25/2017 12:00:00 AM,Hudson Valley Hospital,1,29,9,39
1079,1/26/2017 12:00:00 AM,Hudson Valley Hospital,5,21,12,59
1080,1/27/2017 12:00:00 AM,Hudson Valley Hospital,14,23,5,39
1081,1/28/2017 12:00:00 AM,Hudson Valley Hospital,29,25,5,37
1082,1/29/2017 12:00:00 AM,Hudson Valley Hospital,30,32,9,49
1083,1/30/2017 12:00:00 AM,Hudson Valley Hospital,8,34,7,35
1084,1/31/2017 12:00:00 AM,Hudson Valley Hospital,26,27,11,62
1085,2/1/2017 12:00:00 AM,Hudson Valley Hospital,16,31,14,41
1086,2/2/2017 12:00:00 AM,Hudson Valley Hospital,23,33,10,37
1087,2/3/2017 12:00:00 AM,Hudson Valley Hospital,3,34,12,44
1088,2/4/2017 12:00:00 AM,Hudson Valley Hospital,14,36,10,43
1089,2/5/2017 12:00:00 AM,Hudson Valley Hospital,10,31,18,52
1090,2/6/2017 12:00:00 AM,Hudson Valley Hospital,5,35,19,55
1091,2/7/2017 12:00:00 AM,Hudson Valley Hospital,21,23,24,68
1092,2/8/2017 12:00:00 AM,Hudson Valley Hospital,2,28,21,58
1093,2/9/2017 12:00:00 AM,Hudson Valley Hospital,15,35,5,34
1094,2/10/2017 12:00:00 AM,Hudson Valley Hospital,0,35,10,38
1095,2/11/2017 12:00:00 AM,Hudson Valley Hospital,5,19,28,62
1096,2/13/2016 12:00:00 AM,Lawrence Hospital,2,34,13,54
1097,2/14/2016 12:00:00 AM,Lawrence Hospital,7,26,6,41
1098,2/15/2016 12:00:00 AM,Lawrence Hospital,0,19,16,62
1099,2/16/2016 12:00:00 AM,Lawrence Hospital,5,35,15,52
1100,2/17/2016 12:00:00 AM,Lawrence Hospital,10,26,9,45
1101,2/18/2016 12:00:00 AM,Lawrence Hospital,4,35,10,31
1102,2/19/2016 12:00:00 AM,Lawrence Hospital,31,28,13,43
1103,2/20/2016 12:00:00 AM,Lawrence Hospital,16,35,13,59
1104,2/21/2016 12:00:00 AM,Lawrence Hospital,26,33,8,52
1105,2/22/2016 12:00:00 AM,Lawrence Hospital,25,32,6,30
1106,2/23/2016 12:00:00 AM,Lawrence Hospital,14,33,5,55
1107,2/24/2016 12:00:00 AM,Lawrence Hospital,3,30,5,33
1108,2/25/2016 12:00:00 AM,Lawrence Hospital,0,31,NA,42
1109,2/26/2016 12:00:00 AM,Lawrence Hospital,16,35,3,32
1110,2/27/2016 12:00:00 AM,Lawrence Hospital,17,35,6,51
1111,2/28/2016 12:00:00 AM,Lawrence Hospital,12,37,14,59
1112,2/29/2016 12:00:00 AM,Lawrence Hospital,5,33,15,50
1113,3/1/2016 12:00:00 AM,Lawrence Hospital,18,40,12,41
1114,3/2/2016 12:00:00 AM,Lawrence Hospital,2,34,10,54
1115,3/3/2016 12:00:00 AM,Lawrence Hospital,9,33,6,34
1116,3/4/2016 12:00:00 AM,Lawrence Hospital,0,32,13,43
1117,3/5/2016 12:00:00 AM,Lawrence Hospital,14,35,8,36
1118,3/6/2016 12:00:00 AM,Lawrence Hospital,16,38,10,47
1119,3/7/2016 12:00:00 AM,Lawrence Hospital,16,31,29,65
1120,3/8/2016 12:00:00 AM,Lawrence Hospital,8,35,38,76
1121,3/9/2016 12:00:00 AM,Lawrence Hospital,25,31,51,82
1122,3/10/2016 12:00:00 AM,Lawrence Hospital,14,44,28,68
1123,3/11/2016 12:00:00 AM,Lawrence Hospital,15,31,7,20
