skill,Cloud Computing,Accelerated Project Results,Analytics and business intelligence,Application Modernization,Big Data,Collaboration technologies workflow,CRM,DevOps,ERP Applications,IT department leadership in innovation.using new technology,Mobile technologies,Security,Virtualization,Web 2.0,Augmented Reality,Wearable Computing,3D Printing,Personal Cloud,Digital Banking,Smart Cities,Telematics,Internet of Things,Desktop Applications Specialist,Leadership,Technical Analyst,Desktop Security Specialist,Network Engineer,Project Management,Database Specialist,Legacy Programmer,Systems Engineer,Web Developer
decrypt,0,0,0,0,0,0,0,0,0,0,0,0.004865557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
defense,0,0,0,0.051724138,0,0.006097561,0,0,0,0,0.000678426,0.002304738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
defensive-programming,0,0,0,0,0,0,0,0,0,0,0,0.003329065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delivery_strategic_business,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delivery_strategic_business_solutions,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delphi,0,0,0,0,0,0,0,0,0,0,0,0.00921895,0.036866359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
department_defense,0,0,0,0.034482759,0,0.00304878,0,0,0,0,0.000339213,0.001536492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deployment,0.114942529,0,0,0,0,0,0,0.490909091,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des,0,0,0,0,0,0,0,0,0,0,0,0.002304738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
description_analyze_design_develop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
design-patterns,0,0,0,0,0,0.027439024,0,0,0,0,0,0.00921895,0,0,0.005128205,0,0,0.066666667,0.056338028,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0
design_architecture,0,0.002873563,0,0.120689655,0.004048583,0.00152439,0,0.018181818,0,0,0,0,0,0,0.002564103,0.043478261,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0
design_build,0,0,0,0,0,0,0,0.036363636,0,0,0,0,0,0,0,0.086956522,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0
design_construction,0,0,0,0.051724138,0,0.00304878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design_development,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0.043478261,0.142857143,0.133333333,0.197183099,0.047619048,0.19047619,0.173913043,0,0,0,0,0,0,0,0,0,0
design_engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0
design_execution,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design_experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564103,0,0.142857143,0.066666667,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0
design_implementation,0.002298851,0,0,0.017241379,0.028340081,0.00304878,0,0.036363636,0,0.008264463,0.000678426,0.000512164,0.013824885,0.106382979,0.002564103,0,0,0.066666667,0,0,0.015873016,0.086956522,0,0,0,0,0,0,0,0,0,0
design_reengineering,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design_solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
desktop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0.104671281,0.205445545,0.046875,0.5,0.112244898,0.038461539,0.066666667,0.031269544,0.040816327,0.018691589
desktop-application,0,0,0,0,0,0,0,0,0,0,0.002713704,0.004865557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
developed_unique_service_oriented,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
developer,0,0,0,0,0,0,0,0.054545455,0,0,0,0,0,0,0.017948718,0,0.142857143,0,0,0,0.031746032,0.173913043,0,0,0,0,0,0,0,0,0,0
developing_mobile_applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0.126760563,0,0,0,0,0,0,0,0,0,0,0,0,0
developing_software,0,0,0,0.034482759,0.008097166,0.00304878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
developing_web,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0
development-environment,0.016091954,0,0,0,0,0.016768293,0,0,0,0,0.001696065,0,0.110599078,0,0,0,0,0,0.028169014,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0
development_experience,0.004597701,0,0,0.120689655,0.004048583,0,0,0.727272727,0.090909091,0.016528926,0.000678426,0.000256082,0,0.021276596,0.002564103,0.043478261,0,0.133333333,0.183098592,0.047619048,0.111111111,0,0,0,0,0,0,0,0,0,0,0
development_lifecycle,0.009195402,0.00862069,0.002785515,0.051724138,0.008097166,0.00304878,0,0,0.018181818,0.033057851,0.000339213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
development_maintenance,0,0,0,0,0.004048583,0,0,0,0.054545455,0,0.000339213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
development_process,0.006896552,0.00862069,0,0,0,0,0,0,0,0.024793388,0,0,0.004608295,0.042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
development_project,0.002298851,0.002873563,0.002785515,0.017241379,0,0,0,0,0,0.008264463,0,0,0.004608295,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
development_tasks,0,0,0,0.051724138,0,0,0,0,0.018181818,0,0,0,0,0.042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
development_team,0.004597701,0.017241379,0.002785515,0,0,0,0.001917546,0,0,0.016528926,0.000678426,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devexpress,0,0,0,0,0,0,0,0,0,0,0,0.001536492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
device-orientation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devops,0,0,0,0,0,0,0,0.872727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffie-hellman,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digest-authentication,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digital-certificate,0,0,0,0,0,0,0,0,0,0,0,0.00793854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digital-compass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digital-signature,0,0,0,0,0,0,0,0,0,0,0,0.019206146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_banking_software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_banking_software_financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_banking_technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169014085,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_banking_technology_platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_insight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788732394,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_insight_leading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_insight_leading_software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_insight_place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_insight_place_entrepreneurial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
digital_platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
dimensional-modeling,0,0,0.030640669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director,0.006896552,0,0.016713092,0.017241379,0,0,0.000958773,0,0,0.024793388,0,0.001024328,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directory-traversal,0,0,0,0,0,0,0,0,0,0,0,0.001536492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disciplined,0.009195402,0,0.002785515,0.068965517,0.004048583,0,0,0,0,0.033057851,0,0.000768246,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discrete_assignments_metrics,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distributed-computing,0.108045977,0,0,0,0.028340081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diverse_audiences_experience,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django,0.016091954,0,0.04178273,0,0,0.028963415,0,0,0,0,0.010176391,0.038924456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dll,0,0,0,0,0,0.007621951,0,0,0,0,0,0.00921895,0,0,0,0,0,0,0,0,0,0,0.005190312,0.012376238,0.0625,0.090909091,0,0.002262444,0.055555556,0.000625,0,0.046728972
dmz,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dns,0.020689655,0,0.016713092,0,0,0,0,0.181818182,0,0,0.002035278,0.010755442,0,0,0,0,0,0,0,0,0,0,0.005190311,0.00990099,0,0.090909091,0.020408163,0,0,0.003752345,0.489795918,0.004672897
doctrine,0,0,0,0,0,0,0,0,0,0,0,0.004353393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
document-library,0,0,0,0,0,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
documentation,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.01025641,0.043478261,0,0.133333333,0.028169014,0,0.031746032,0.086956522,0.01600346,0.038366337,0.109375,0.318181818,0.025510204,0.014705883,0.033333333,0.008286331,0.010204082,0.00817757
document_creation,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dod,0.002298851,0,0,0.017241379,0,0,0,0,0,0.008264463,0,0.003329065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dojo,0,0,0,0,0,0,0,0,0,0,0.016282225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dojox,0,0,0,0,0,0,0,0,0,0,0.006784261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dom,0,0,0,0,0,0,0,0,0,0,0,0.003072983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domain-driven-design,0,0,0,0,0,0,0,0,0,0,0,0.002560819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dotnetnuke,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0
dreamweaver,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0,0,0,0,0,0,0,0,0.031141869,0.01980198,0.03125,0.272727273,0,0.004524887,0.044444444,0.008130081,0.020408163,0.130841121
driven,0.016091954,0.011494253,0.016713092,0.051724138,0.012145749,0.00152439,0.000958773,0,0,0.05785124,0.000339213,0,0.004608295,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
driver,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.002564103,0.086956522,0.142857143,0,0,0.047619048,0.031746032,0,0,0,0,0,0,0,0,0,0,0
drm,0,0,0,0,0,0,0,0,0,0,0,0.004609475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drools,0,0,0,0,0,0.009146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drupal,0,0,0.013927577,0,0,0.022865854,0,0,0,0,0,0.002304738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dry,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsa,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsdb,0.002298851,0.002873563,0,0.017241379,0.004048583,0,0,0,0,0.008264463,0,0,0.004608295,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvcs,0,0,0,0,0,0.041158537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.007692308,0.043478261,0,0,0,0,0.031746032,0.130434783,0,0,0,0,0,0,0,0,0,0
dynamics-crm,0,0,0,0,0,0.193597561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_environment_ability_work,0.006896552,0,0,0,0,0,0,0.090909091,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e-commerce,0,0,0.025069638,0,0,0,0,0,0,0,0.003052917,0.00793854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse,0,0,0,0.103448276,0,0.032012195,0,0,0.018181818,0,0,0,0.004608295,0,0.005128205,0,0,0,0,0,0,0,0.003460208,0.00990099,0.03125,0,0,0,0.044444444,0.000625,0,0.144859813
economics,0,0.002873563,0.011142061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
effective_verbal_written_communication,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efficient,0,0,0,0,0,0,0,0.054545455,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0
efficient_able_handle_projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ejb,0,0,0,0,0,0,0,0,0,0,0,0.012548015,0,0,0,0,0,0,0,0,0,0,0.003460208,0.004950495,0.0625,0,0,0.009049774,0.022222222,0.006253909,0,0.327102804
elasticsearch,0,0,0,0,0.020242915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electrical_engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564103,0.217391304,0,0,0,0.047619048,0.095238095,0.086956522,0,0,0,0,0,0,0,0,0,0
electronics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0.217391304,0,0,0,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0
elliptic-curve,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elmah,0,0,0,0,0,0,0,0,0,0,0,0.003072983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
email,0,0,0,0,0,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564103,0.086956522,0.285714286,0,0,0,0.047619048,0.043478261,0,0,0,0,0,0,0,0,0,0
embedded_systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043,0.285714286,0.133333333,0,0,0.063492063,0,0,0,0,0,0,0,0,0,0,0
emgucv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encapsulation,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoding,0,0,0,0,0,0,0,0,0,0,0,0.008450704,0,0,0,0,0,0,0,0,0,0,0.003460208,0.024752475,0.03125,0,0.040816327,0,0.066666667,0.001250782,0,0.009345794
encryption,0.018390805,0,0,0,0,0,0,0,0,0,0,0.318565941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encryption-asymmetric,0,0,0,0,0,0,0,0,0,0,0,0.005889885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encryption-symmetric,0,0,0,0,0,0,0,0,0,0,0,0.004609475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energetic,0.002298851,0,0,0.017241379,0.008097166,0,0,0,0,0.008264463,0,0,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engineer,0,0,0.002785515,0.017241379,0.012145749,0.012195122,0,0.381818182,0.036363636,0,0.002374491,0.000768246,0.041474654,0,0.023076923,0.130434783,0.285714286,0.2,0.183098592,0,0.063492063,0.217391304,0,0,0,0,0,0,0,0,0,0
engineering_computer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564103,0.086956522,0,0,0.014084507,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0
engineering_computer_science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564103,0.043478261,0,0,0.014084507,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0
engineering_processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0
engineer_play_critical_role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
ensure_compatibility_system_components,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
ensure_quality_standards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
enterprise-library,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enterprise_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0
enterprise_software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0.043478261,0,0,0,0,0,0,0,0,0,0
entity-framework,0.013793103,0,0,0,0,0,0,0,0,0,0,0.01049936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entrepreneurial,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0.002564103,0,0,0,0.154929577,0,0.015873016,0.043478261,0,0,0,0,0,0,0,0,0,0
entropy,0,0,0,0,0,0,0,0,0,0,0,0.002048656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erlang,0,0,0,0,0,0,0,0,0,0,0,0.002048656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erp,0,0,0,0,0,0,0.018216683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esapi,0,0,0,0,0,0,0,0,0,0,0,0.002304738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esb,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estimation,0,0.048850575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esxi,0,0,0,0,0,0,0,0,0,0,0,0,0.050691244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethical,0,0,0,0,0.004048583,0.00152439,0,0,0,0,0,0.000512164,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
etl,0,0,0.061281337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008650519,0,0,0,0,0.004524887,0.111111111,0.011882427,0,0.023364486
eucalyptus,0.045977011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
event-tracking,0,0,0.016713092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excel,0.009195402,0.00862069,0.061281337,0,0,0,0.001917546,0,0.090909091,0.033057851,0,0.006658131,0.004608295,0,0,0,0,0,0,0,0,0,0.960207612,0.386138614,0.09375,0.909090909,0.306122449,0.185520362,0.6,0.030644153,0.204081633,0.303738318
excellent_analytical,0.006896552,0,0.002785515,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_communication_skills,0.006896552,0,0,0,0.004048583,0,0,0.036363636,0.018181818,0.024793388,0.000339213,0,0,0,0.005128205,0,0.142857143,0,0,0.095238095,0.015873016,0,0,0,0,0,0,0,0,0,0,0
excellent_interpersonal,0.004597701,0.002873563,0,0,0,0,0.000958773,0,0,0.016528926,0,0.000256082,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_project_management,0,0.005747126,0.002785515,0,0,0.00304878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_time_management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_time_management_communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_verbal,0.006896552,0,0.005571031,0,0,0,0.000958773,0,0,0.024793388,0,0,0,0.063829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_written,0,0.005747126,0.002785515,0.068965517,0,0.00152439,0.000958773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_written_verbal_communication,0,0.005747126,0.002785515,0.051724138,0,0.00152439,0.000958773,0.163636364,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0
exceptionally_strong_analytic_capabilities,0.013793103,0,0,0,0,0,0,0,0,0.049586777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
executive_level,0.025287356,0.002873563,0.011142061,0.034482759,0,0,0.001917546,0,0,0.090909091,0,0,0.013824885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
executive_management,0.002298851,0.002873563,0.002785515,0.034482759,0,0,0,0,0,0.008264463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_agile,0,0.005747126,0,0.034482759,0,0,0,0,0,0,0.000339213,0,0,0.021276596,0,0.043478261,0,0,0.126760563,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0
experience_agile_product_development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_business,0,0,0,0.034482759,0.004048583,0,0,0,0.036363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_designing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0.056338028,0.047619048,0,0.043478261,0,0,0,0,0,0,0,0,0,0
experience_developing,0,0,0,0,0,0,0,0.036363636,0,0,0,0,0,0,0.015384615,0.173913043,0,0.066666667,0.112676056,0.047619048,0.142857143,0,0,0,0,0,0,0,0,0,0,0
experience_embedded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0,0,0.047619048,0.043478261,0,0,0,0,0,0,0,0,0,0
experience_java,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0.043478261,0,0.066666667,0,0,0.031746032,0.043478261,0,0,0,0,0,0,0,0,0,0
experience_leadership_role,0.013793103,0.005747126,0,0,0,0,0,0,0,0.049586777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_leading_teams,0,0,0.005571031,0.051724138,0,0,0,0.018181818,0,0,0,0,0,0.021276596,0.002564103,0,0.142857143,0.133333333,0.014084507,0,0.031746032,0.043478261,0,0,0,0,0,0,0,0,0,0
experience_linux,0,0,0,0,0,0,0,0.054545455,0,0,0,0,0,0,0.002564103,0,0.142857143,0.066666667,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0
experience_microsoft,0.004597701,0,0,0.034482759,0,0,0.000958773,0,0,0.016528926,0,0,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_project_management,0.002298851,0,0,0.034482759,0,0,0,0,0,0.008264463,0,0,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_software_development,0.006896552,0.005747126,0,0,0.008097166,0,0.000958773,0,0.018181818,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experience_software_development_lifecycle,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
